iter	Logloss
0	0.6514431752
1	0.61568918
2	0.5780334721
3	0.5535195473
4	0.5303813365
5	0.5056902518
6	0.4842875387
7	0.4664879961
8	0.4483179476
9	0.4241437002
10	0.3953869554
11	0.3808068364
12	0.3640616623
13	0.3512072527
14	0.3412435172
15	0.3305569887
16	0.3216731321
17	0.3160836437
18	0.3088893758
19	0.2942722327
20	0.2878641316
21	0.2790144092
22	0.2751302351
23	0.271196125
24	0.2646360223
25	0.2576461302
26	0.2523783837
27	0.2457422094
28	0.2370336696
29	0.2346212667
30	0.2308176567
31	0.228344556
32	0.2222995798
33	0.2186169892
34	0.2154895781
35	0.2127984565
36	0.2081999774
37	0.2043724581
38	0.2022291273
39	0.1993546906
40	0.1975081831
41	0.195521073
42	0.1939477672
43	0.1916102152
44	0.1890596327
45	0.1857864717
46	0.1840168478
47	0.1812671075
48	0.1799559054
49	0.1774176256
50	0.1746362611
51	0.1718188982
52	0.1691763619
53	0.1682768732
54	0.1657515011
55	0.1635216768
56	0.1623517616
57	0.1612503105
58	0.1595180271
59	0.15840481
60	0.1577678197
61	0.1569889723
62	0.1551694765
63	0.1534167394
64	0.1509215825
65	0.1494898791
66	0.1489274663
67	0.1473408994
68	0.1459733927
69	0.1454221102
70	0.1435666597
71	0.1422287329
72	0.1416967883
73	0.1412492886
74	0.1398702598
75	0.1390408768
76	0.1385547124
77	0.1376742996
78	0.13724212
79	0.1368146222
80	0.1363795094
81	0.1358252577
82	0.1351585638
83	0.1340013879
84	0.1328262269
85	0.1324994865
86	0.1320874722
87	0.1317952779
88	0.1300065195
89	0.1296454535
90	0.1293315491
91	0.1289936326
92	0.1286719829
93	0.1284124717
94	0.1279836998
95	0.1276088922
96	0.1271666178
97	0.1266126801
98	0.1262621386
99	0.1259959053
100	0.125737771
101	0.1249655644
102	0.1246730753
103	0.1244016754
104	0.1240258061
105	0.1233202142
106	0.122541952
107	0.1218925578
108	0.121614321
109	0.1211453699
110	0.1207342353
111	0.1205172849
112	0.1202941842
113	0.1195976031
114	0.1193958021
115	0.1191230452
116	0.1189379109
117	0.1186785706
118	0.1183991578
119	0.117502807
120	0.117076924
121	0.1166290053
122	0.1160815713
123	0.1158751668
124	0.115700204
125	0.1155235865
126	0.1153307627
127	0.1151957328
128	0.1150039114
129	0.1141996045
130	0.113783551
131	0.1136328296
132	0.113281496
133	0.113014061
134	0.1121921104
135	0.1120093983
136	0.1118328531
137	0.1116669209
138	0.1114075235
139	0.1111805025
140	0.1110408294
141	0.11033383
142	0.1101026006
143	0.1098747474
144	0.1096401836
145	0.1094953597
146	0.109376689
147	0.1091979838
148	0.1087633987
149	0.1081869272
150	0.1077404525
151	0.1075269991
152	0.1073802389
153	0.107230565
154	0.107110365
155	0.1069599621
156	0.1066178217
157	0.1064730646
158	0.1063502401
159	0.1059364285
160	0.1058099567
161	0.1056433571
162	0.1055142744
163	0.1053729108
164	0.1052002819
165	0.1050050071
166	0.1046871558
167	0.1045735934
168	0.1044552417
169	0.104220237
170	0.1040772622
171	0.1039477945
172	0.1037946438
173	0.1036529691
174	0.1033035717
175	0.1030023452
176	0.1028661743
177	0.1026426953
178	0.1023350887
179	0.1021855134
180	0.1020639747
181	0.1019828782
182	0.1016648393
183	0.1015397079
184	0.10142964
185	0.1013450333
186	0.1011252118
187	0.1010472842
188	0.100819782
189	0.1007158712
190	0.1006125789
191	0.100509644
192	0.1003771416
193	0.1002912817
194	0.1001511331
195	0.09993642445
196	0.0998201684
197	0.09964496423
198	0.09952451144
199	0.09915011543
200	0.09904067758
201	0.09837059681
202	0.09826680126
203	0.0981704435
204	0.09804678393
205	0.09795731641
206	0.09786147963
207	0.09767580982
208	0.09745712417
209	0.09727894764
210	0.09697939718
211	0.09687990765
212	0.09676388201
213	0.09603336455
214	0.09585984739
215	0.09564158402
216	0.09550304956
217	0.09541353444
218	0.09530722021
219	0.09499361388
220	0.09493382099
221	0.09448153174
222	0.09433048431
223	0.09423047086
224	0.09414966996
225	0.09394430288
226	0.0938262022
227	0.09376575083
228	0.09369612965
229	0.09349545519
230	0.09338126477
231	0.09330241122
232	0.09321723538
233	0.09314017191
234	0.09286354691
235	0.09278963548
236	0.09267667443
237	0.09257919631
238	0.09246729262
239	0.09238594864
240	0.0923024599
241	0.09205719328
242	0.09178854314
243	0.09167034826
244	0.09158729367
245	0.09144682334
246	0.09114801331
247	0.09104659359
248	0.09098541211
249	0.09088641052
250	0.09076377088
251	0.09063017114
252	0.09052936476
253	0.09040572448
254	0.09029993712
255	0.09017032572
256	0.090072802
257	0.09000690469
258	0.08992998151
259	0.08971961353
260	0.08966289424
261	0.08937112386
262	0.08925882763
263	0.08901893856
264	0.08893373783
265	0.08885709181
266	0.08879547263
267	0.08872674365
268	0.08862023761
269	0.08799518201
270	0.08762458602
271	0.08752974062
272	0.08745853269
273	0.08734391911
274	0.08703431703
275	0.08692385364
276	0.08682692596
277	0.08677013166
278	0.08636664944
279	0.08601500988
280	0.08576075987
281	0.08570132249
282	0.08540312821
283	0.08534546257
284	0.08530588592
285	0.08521478679
286	0.08512173944
287	0.08506801067
288	0.0849766929
289	0.0848925347
290	0.08485756847
291	0.08474905131
292	0.08468591264
293	0.08451461474
294	0.08445691141
295	0.0842904803
296	0.08407462769
297	0.08399127394
298	0.08395527416
299	0.08389102968
